year,age,status,income,total_income,kommune
2015,41,sysselsatt,587198,587198,1535
2015,41,sysselsatt,513823,513823,0230
2015,56,sysselsatt,1354020,1354020,0301
2015,15,utdanning,,,0412
2015,-10,utdanning,,,
2015,31,sysselsatt,481214,481214,1439
2015,25,sysselsatt,452074,452074,1201
2015,36,sysselsatt,703275,703275,0104
2015,20,sysselsatt,,,0226
2015,59,arbeidsledig,382282,1053139,1221
2015,54,sysselsatt,1305806,1305806,1201
2015,23,sysselsatt,410537,410537,1834
2015,48,sysselsatt,2020364,2020364,0301
2015,47,arbeidsledig,149822,571599,5015
2015,20,sysselsatt,,,1103
2015,20,sysselsatt,1105263,1105263,0219
2015,78,pensjonist,,,0226
2015,46,sysselsatt,662833,662833,0301
2015,23,sysselsatt,450052,450052,5001
2015,46,sysselsatt,1660965,1660965,1525
2015,44,arbeidsledig,134963,503769,1804
2015,40,sysselsatt,655195,655195,0615
2015,48,sysselsatt,658480,658480,0216
2015,40,sysselsatt,470195,470195,0226
2015,27,sysselsatt,827210,827210,1519
2015,57,ufor,49753,597040,0619
2015,46,ufor,57880,694564,1421
2015,35,sysselsatt,450031,450031,0235
2015,32,sysselsatt,1202102,1202102,0219
2015,43,sysselsatt,865971,865971,1939
2015,8,utdanning,,,5033
2015,20,sysselsatt,,,1902
2015,36,sysselsatt,590095,590095,0712
2015,17,utdanning,,,1211
2015,57,sysselsatt,919246,919246,1444
2015,26,sysselsatt,572836,572836,5001
2015,16,utdanning,,,0415
2015,23,sysselsatt,,,0226
2015,40,sysselsatt,316422,316422,1004
2015,4,utdanning,,,1001
2015,73,pensjonist,,,0429
2015,17,utdanning,,,0612
2015,38,sysselsatt,983739,983739,5004
2015,73,pensjonist,,,0729
2015,57,sysselsatt,691221,691221,0219
2015,34,sysselsatt,437475,437475,1439
2015,15,utdanning,,,0604
2015,28,sysselsatt,879388,879388,0441
2015,44,sysselsatt,638137,638137,2002
2015,42,sysselsatt,226322,226322,1259
2015,50,sysselsatt,990241,990241,1149
2015,6,utdanning,,,0301
2015,26,sysselsatt,698881,698881,1547
2015,42,sysselsatt,755723,755723,1201
2015,25,sysselsatt,655795,655795,1001
2015,59,sysselsatt,425556,425556,0215
2015,52,arbeidsledig,241373,778961,0928
2015,58,sysselsatt,453810,453810,1526
2015,63,sysselsatt,549496,549496,0230
2015,37,sysselsatt,672068,672068,5026
2015,60,sysselsatt,391322,391322,0106
2015,25,sysselsatt,271015,271015,0301
2015,-4,utdanning,,,
2015,16,utdanning,,,0219
2015,-3,utdanning,,,
2015,41,sysselsatt,1006516,1006516,1135
2015,21,sysselsatt,1632144,1632144,1251
2015,72,pensjonist,,,0135
2015,13,utdanning,,,1103
2015,0,utdanning,,,1112
2015,-10,utdanning,,,
2015,36,sysselsatt,513714,513714,0301
2015,47,sysselsatt,647469,647469,0230
2015,41,arbeidsledig,187728,600732,1816
2015,38,sysselsatt,566791,566791,1531
2015,11,utdanning,,,0226
2015,46,sysselsatt,747246,747246,1201
2015,18,utdanning,50710,50710,0901
2015,62,sysselsatt,441638,441638,1827
2015,36,sysselsatt,243027,243027,0301
2015,43,sysselsatt,816560,816560,1928
2015,9,utdanning,,,0226
2015,42,sysselsatt,908945,908945,0301
2015,79,pensjonist,,,0938
2015,75,pensjonist,,,2004
2015,23,sysselsatt,,,0301
2015,33,sysselsatt,533659,533659,1102
2015,55,ufor,52339,628064,1505
2015,13,utdanning,,,1201
2015,12,utdanning,,,0301
2015,4,utdanning,,,0806
2015,24,sysselsatt,,,1444
2015,29,sysselsatt,377697,377697,0502
2015,47,sysselsatt,1064794,1064794,0226
2015,44,arbeidsledig,185070,652157,0906
2015,28,sysselsatt,540881,540881,0626
2015,-1,utdanning,,,
2015,4,utdanning,,,1804
2015,18,utdanning,34414,34414,0101
2015,54,sysselsatt,799517,799517,5053
2015,-10,utdanning,,,
2015,21,sysselsatt,,,1835
2015,54,sysselsatt,1656780,1656780,0301
2015,-5,utdanning,,,
2015,31,sysselsatt,650251,650251,0604
2015,4,utdanning,,,1523
2015,27,sysselsatt,666097,666097,0226
2015,58,arbeidsledig,195796,669148,0219
2015,15,utdanning,,,0543
2015,69,pensjonist,,192727,0834
2015,10,utdanning,,,1103
2015,21,sysselsatt,367437,367437,1836
2015,19,sysselsatt,484879,484879,1001
2015,13,utdanning,,,1502
2015,64,sysselsatt,566096,566096,5001
2015,51,sysselsatt,1046760,1046760,0602
2015,-3,utdanning,,,
2015,42,ufor,19697,236359,0420
2015,1,utdanning,,,0830
2015,36,ufor,47426,569116,0301
2015,63,ufor,45560,546715,0602
2015,21,sysselsatt,349072,349072,0403
2015,20,sysselsatt,398571,398571,0403
2015,43,sysselsatt,387337,387337,0301
2015,10,utdanning,,,0105
2015,72,pensjonist,,,1001
2015,-3,utdanning,,,
2015,74,pensjonist,,,0412
2015,44,sysselsatt,534713,534713,0301
2015,31,sysselsatt,366642,366642,1449
2015,50,sysselsatt,1516828,1516828,1856
2015,31,sysselsatt,1823778,1823778,0220
2015,36,sysselsatt,870184,870184,1242
2015,-10,utdanning,,,
2015,12,utdanning,,,0301
2015,42,sysselsatt,1171374,1171374,1142
2015,49,sysselsatt,1752231,1752231,0712
2015,48,sysselsatt,1179346,1179346,1127
2015,15,utdanning,,,5034
2015,1,utdanning,,,0235
2015,47,ufor,58613,703357,0301
2015,28,sysselsatt,884809,884809,5001
2015,48,sysselsatt,1434369,1434369,0301
2015,23,sysselsatt,635667,635667,0605
2015,29,sysselsatt,714580,714580,1232
2015,30,sysselsatt,519950,519950,0602
2015,27,sysselsatt,435332,435332,1201
2015,40,sysselsatt,436712,436712,0429
2015,-3,utdanning,,,
2015,68,pensjonist,,187412,1201
2015,64,sysselsatt,470737,470737,0301
2015,35,sysselsatt,610893,610893,1836
2015,55,sysselsatt,1967686,1967686,5054
2015,29,sysselsatt,763627,763627,0627
2015,15,utdanning,,,1103
2015,48,sysselsatt,898083,898083,1001
2015,29,sysselsatt,800753,800753,0829
2015,41,sysselsatt,488968,488968,5001
2015,77,pensjonist,,,0633
2015,36,sysselsatt,276447,276447,0122
2015,51,sysselsatt,932572,932572,0235
2015,6,utdanning,,,1551
2015,23,sysselsatt,508834,508834,0301
2015,15,utdanning,,,0502
2015,32,sysselsatt,258040,258040,0301
2015,33,sysselsatt,804577,804577,1001
2015,46,sysselsatt,820039,820039,1106
2015,45,sysselsatt,904992,904992,0105
2015,-5,utdanning,,,
2015,25,arbeidsledig,194268,678074,1253
2015,33,arbeidsledig,115997,375947,0301
2015,19,sysselsatt,,,1102
2015,34,sysselsatt,441170,441170,0101
2015,10,utdanning,,,0604
2015,15,utdanning,,,1942
2015,17,utdanning,,,5034
2015,67,pensjonist,,296699,0213
2015,3,utdanning,,,0105
2015,3,utdanning,,,0301
2015,41,sysselsatt,877320,877320,1535
2015,46,sysselsatt,474169,474169,0710
2015,19,sysselsatt,267479,267479,0233
2015,3,utdanning,,,0301
2015,35,sysselsatt,1182008,1182008,1836
2015,26,sysselsatt,699901,699901,0430
2015,10,utdanning,,,0237
2015,19,arbeidsledig,266537,819391,2021
2015,25,sysselsatt,946158,946158,1247
2015,47,ufor,22321,267856,0604
2015,30,sysselsatt,283544,283544,0219
2015,76,pensjonist,,,1146
2015,13,utdanning,,,0226
2015,34,sysselsatt,344266,344266,0301
2015,26,sysselsatt,929428,929428,0602
2015,53,sysselsatt,2613904,2613904,0301
2015,41,sysselsatt,728936,728936,5024
2015,65,sysselsatt,331506,331506,0106
2015,34,sysselsatt,613463,613463,0418
2015,45,sysselsatt,616089,616089,0104
2015,44,sysselsatt,681926,681926,1502
2015,20,sysselsatt,,,0226
2015,54,ufor,89003,1068037,1201
2015,41,ufor,34334,412006,0301
2015,53,sysselsatt,1147938,1147938,5001
2015,55,ufor,75737,908843,1149
2015,35,sysselsatt,572686,572686,0712
2015,36,sysselsatt,701408,701408,0301
2015,23,sysselsatt,,,1867
2015,21,sysselsatt,,,0219
2015,50,sysselsatt,1025257,1025257,0938
2015,15,utdanning,,,1514
2015,9,utdanning,,,1836
2015,9,utdanning,,,0219
2015,27,sysselsatt,437023,437023,1246
2015,61,sysselsatt,1163241,1163241,0602
2015,26,sysselsatt,1133376,1133376,0301
2015,29,sysselsatt,1022474,1022474,5013
2015,-10,utdanning,,,
2015,30,sysselsatt,256850,256850,1001
2015,29,sysselsatt,1844863,1844863,1867
2015,80,pensjonist,,,0619
2015,24,sysselsatt,766344,766344,1233
2015,27,sysselsatt,704571,704571,0219
2015,48,sysselsatt,1246754,1246754,0602
2015,50,arbeidsledig,238304,793928,1201
2015,8,utdanning,,,1201
2015,16,utdanning,,,1247
2015,38,sysselsatt,633887,633887,0301
2015,35,sysselsatt,439560,439560,1102
2015,5,utdanning,,,0301
2015,-4,utdanning,,,
2015,42,sysselsatt,1058140,1058140,1201
2015,56,sysselsatt,1252290,1252290,0301
2015,37,sysselsatt,728291,728291,0301
2015,4,utdanning,,,0904
2015,45,sysselsatt,523791,523791,0602
2015,-4,utdanning,,,
2015,-4,utdanning,,,
2015,-6,utdanning,,,
2015,26,sysselsatt,507723,507723,1201
2015,23,arbeidsledig,,,1149
2015,10,utdanning,,,0220
2015,61,arbeidsledig,175678,535505,1412
2015,7,utdanning,,,1259
2015,34,sysselsatt,769291,769291,0301
2015,62,sysselsatt,438111,438111,2027
2015,41,sysselsatt,322252,322252,0219
2015,26,sysselsatt,463377,463377,0831
2015,63,sysselsatt,736755,736755,1001
2015,76,pensjonist,,,5015
2015,23,sysselsatt,,,0544
2015,57,ufor,67186,806237,1545
2015,47,sysselsatt,1538177,1538177,0301
2015,59,ufor,39885,478624,0230
2015,20,sysselsatt,,,0403
2015,47,sysselsatt,922804,922804,1871
2015,34,sysselsatt,403255,403255,0806
2015,-3,utdanning,,,
2015,14,utdanning,,,1504
2015,61,sysselsatt,801650,801650,1827
2015,79,pensjonist,,,0235
2015,33,sysselsatt,226716,226716,1902
2015,33,sysselsatt,567919,567919,1114
2015,31,sysselsatt,461670,461670,1874
2015,56,sysselsatt,1712503,1712503,1504
2015,28,sysselsatt,831755,831755,0805
2015,16,utdanning,,,0301
2015,16,utdanning,,,1106
2015,23,sysselsatt,,,5029
2015,20,sysselsatt,948292,948292,1102
2015,34,sysselsatt,388661,388661,0604
2015,29,sysselsatt,457781,457781,0301
2015,53,sysselsatt,1737295,1737295,0710
2015,41,sysselsatt,832408,832408,0615
2015,58,sysselsatt,1172276,1172276,1001
2015,-2,utdanning,,,
2015,13,utdanning,,,1224
2015,30,sysselsatt,482292,482292,1515
2015,7,utdanning,,,1149
2015,43,sysselsatt,695230,695230,1001
2015,9,utdanning,,,0301
2015,-10,utdanning,,,
2015,35,sysselsatt,483014,483014,1502
2015,60,sysselsatt,880450,880450,0301
2015,15,utdanning,,,0233
2015,16,utdanning,,,1834
2015,18,utdanning,52161,52161,0106
2015,38,sysselsatt,961711,961711,0105
2015,10,utdanning,,,5001
2015,35,sysselsatt,1767890,1767890,0301
2015,15,utdanning,,,0906
2015,37,sysselsatt,337140,337140,2027
2015,8,utdanning,,,1201
2015,-10,utdanning,,,
2015,6,utdanning,,,0826
2015,53,sysselsatt,984696,984696,0402
2015,5,utdanning,,,0233
2015,63,sysselsatt,214511,214511,0821
2015,-10,utdanning,,,
2015,23,sysselsatt,624194,624194,1243
2015,52,ufor,74856,898278,1101
2015,49,sysselsatt,1131824,1131824,0301
2015,13,utdanning,,,1102
2015,68,pensjonist,,377677,0301
2015,45,sysselsatt,678846,678846,2012
2015,83,pensjonist,,,0807
2015,42,sysselsatt,479119,479119,0235
2015,7,utdanning,,,0515
2015,38,sysselsatt,1036200,1036200,5016
2015,-4,utdanning,,,
2015,64,ufor,15228,182737,0828
2015,27,sysselsatt,789469,789469,1929
2015,29,sysselsatt,384509,384509,5053
2015,20,sysselsatt,711165,711165,0301
2015,52,arbeidsledig,231579,713741,1804
2015,37,sysselsatt,742034,742034,0138
2015,21,sysselsatt,805680,805680,1833
2015,39,sysselsatt,602185,602185,1571
2015,52,ufor,25152,301820,5020
2015,33,sysselsatt,291396,291396,0235
2015,9,utdanning,,,1519
2015,35,sysselsatt,507678,507678,0420
2015,63,sysselsatt,554568,554568,0712
2015,24,sysselsatt,,,0604
2015,0,utdanning,,,0301
2015,51,sysselsatt,1356065,1356065,0805
2015,13,utdanning,59526,59526,0617
2015,42,sysselsatt,184055,184055,1201
2015,57,sysselsatt,579992,579992,1816
2015,18,utdanning,122313,122313,0602
2015,50,arbeidsledig,359439,1198694,0301
2015,39,sysselsatt,656325,656325,0806
2015,24,sysselsatt,,,0235
2015,20,arbeidsledig,84949,292286,1201
2015,24,sysselsatt,,,1201
2015,46,sysselsatt,712450,712450,1201
2015,59,sysselsatt,250265,250265,0301
2015,37,arbeidsledig,139854,444059,0301
2015,16,utdanning,,,1837
2015,27,sysselsatt,732435,732435,0226
2015,8,utdanning,,,1502
2015,31,sysselsatt,333175,333175,0711
2015,65,arbeidsledig,94375,280560,0231
2015,17,utdanning,,,5038
2015,-9,utdanning,,,
2015,22,sysselsatt,1059864,1059864,0220
2015,21,sysselsatt,,,0602
2015,50,sysselsatt,2663388,2663388,1201
2015,62,sysselsatt,604309,604309,0806
2015,89,pensjonist,,,1103
2015,20,sysselsatt,955720,955720,0235
2015,34,sysselsatt,421306,421306,5001
2015,90,pensjonist,,,2015
2015,33,sysselsatt,620299,620299,1419
2015,33,sysselsatt,384399,384399,1201
2015,3,utdanning,,,1870
2015,47,sysselsatt,1021065,1021065,2003
2015,5,utdanning,,,5004
2015,43,ufor,49396,592753,1102
2015,11,utdanning,,,1431
2015,18,utdanning,,,2011
2015,24,sysselsatt,921838,921838,1902
2015,9,utdanning,,,0417
2015,14,utdanning,,,1936
2015,45,sysselsatt,583365,583365,1149
2015,41,sysselsatt,434739,434739,0701
2015,52,sysselsatt,1676145,1676145,1413
2015,66,sysselsatt,216822,216822,1504
2015,35,sysselsatt,738781,738781,1130
2015,47,sysselsatt,1063102,1063102,1201
2015,41,sysselsatt,898385,898385,1545
2015,32,sysselsatt,376967,376967,1871
2015,64,sysselsatt,1081279,1081279,5019
2015,14,utdanning,,,1201
2015,65,sysselsatt,434459,434459,0806
2015,10,utdanning,,,1942
2015,53,sysselsatt,645178,645178,1231
2015,26,sysselsatt,358919,358919,0301
2015,47,sysselsatt,907145,907145,0301
2015,54,sysselsatt,1206626,1206626,1001
2015,79,pensjonist,,,5001
2015,-8,utdanning,,,
2015,34,sysselsatt,1105456,1105456,0631
2015,39,sysselsatt,278496,278496,1253
2015,66,sysselsatt,517149,517149,1516
2015,40,sysselsatt,383920,383920,0807
2015,35,sysselsatt,472623,472623,1868
2015,24,sysselsatt,,,1939
2015,33,sysselsatt,516594,516594,0220
2015,23,sysselsatt,731356,731356,0501
2015,50,sysselsatt,1022310,1022310,0301
2015,17,utdanning,,,0101
2015,16,utdanning,,,5001
2015,25,sysselsatt,749515,749515,1902
2015,33,sysselsatt,337320,337320,1546
2015,28,sysselsatt,186507,186507,1502
2015,34,sysselsatt,1552291,1552291,1851
2015,13,utdanning,,,0214
2015,84,pensjonist,,,1102
2015,-10,utdanning,,,
2015,79,pensjonist,,,0301
2015,13,utdanning,,,0219
2015,16,utdanning,,,0901
2015,71,pensjonist,,,0545
2015,4,utdanning,,,0715
2015,29,arbeidsledig,129764,470351,5022
2015,48,ufor,20595,247144,0426
2015,57,sysselsatt,2131329,2131329,1848
2015,15,utdanning,,,1103
2015,20,sysselsatt,346256,346256,1121
2015,28,sysselsatt,671858,671858,1001
2015,24,arbeidsledig,82216,309754,0119
2015,71,pensjonist,,,5001
2015,1,utdanning,,,0219
2015,39,sysselsatt,878884,878884,5032
2015,83,pensjonist,,,1103
2015,34,sysselsatt,551721,551721,2021
2015,1,utdanning,,,2023
2015,8,utdanning,,,1102
2015,79,pensjonist,,,5016
2015,21,sysselsatt,454880,454880,0701
2015,48,sysselsatt,1193018,1193018,1201
2015,42,sysselsatt,541403,541403,1505
2015,38,sysselsatt,613205,613205,0521
2015,31,sysselsatt,403226,403226,1001
2015,12,utdanning,,,0906
2015,48,sysselsatt,1239386,1239386,1201
2015,37,sysselsatt,539886,539886,0301
2015,10,utdanning,,,1519
2015,54,sysselsatt,3685759,3685759,1231
2015,35,sysselsatt,398578,398578,0710
2015,19,arbeidsledig,206974,724554,0301
2015,9,utdanning,,,5001
2015,5,utdanning,,,0213
2015,46,sysselsatt,930251,930251,1201
2015,48,sysselsatt,2096457,2096457,0412
2015,13,utdanning,,,5047
2015,14,utdanning,,,1026
2015,47,sysselsatt,904356,904356,0612
2015,6,utdanning,,,5001
2015,39,sysselsatt,673444,673444,0301
2015,33,sysselsatt,486068,486068,1027
2015,23,sysselsatt,,,1445
2015,38,sysselsatt,177787,177787,0301
2015,10,utdanning,,,1201
2015,44,sysselsatt,615300,615300,0301
2015,21,sysselsatt,1189426,1189426,0219
2015,75,pensjonist,,,1103
2015,76,pensjonist,,,5041
2015,53,sysselsatt,786659,786659,0219
2015,52,sysselsatt,928416,928416,1149
2015,7,utdanning,,,0712
2015,33,sysselsatt,681592,681592,0602
2015,27,sysselsatt,231011,231011,0301
2015,51,arbeidsledig,334992,1104473,0415
2015,35,arbeidsledig,87738,335634,1870
2015,12,utdanning,,,1247
2015,80,pensjonist,,,1920
2015,44,sysselsatt,384175,384175,5042
2015,49,sysselsatt,742587,742587,1931
2015,19,sysselsatt,,,0619
2015,22,sysselsatt,187572,187572,0219
2015,36,ufor,29934,359209,1231
2015,43,sysselsatt,227076,227076,0230
2015,61,sysselsatt,459451,459451,0301
2015,46,arbeidsledig,93434,329746,0806
2015,29,sysselsatt,532296,532296,0425
2015,52,ufor,128559,1542713,0226
2015,-1,utdanning,,,
2015,36,sysselsatt,650009,650009,1201
2015,21,sysselsatt,,,1247
2015,31,sysselsatt,417823,417823,1865
2015,53,sysselsatt,1040848,1040848,0104
2015,52,ufor,62936,755233,1027
2015,37,sysselsatt,376906,376906,0515
2015,24,sysselsatt,654210,654210,0604
2015,39,sysselsatt,596371,596371,0301
2015,40,arbeidsledig,501996,1399503,1001
2015,28,sysselsatt,787273,787273,0219
2015,11,utdanning,,,0602
2015,27,sysselsatt,1419799,1419799,0937
2015,33,sysselsatt,700355,700355,0301
2015,26,sysselsatt,531861,531861,5053
2015,9,utdanning,,,0301
2015,57,sysselsatt,510243,510243,1818
2015,51,ufor,63048,756572,5001
2015,53,sysselsatt,3450195,3450195,0602
2015,30,sysselsatt,164060,164060,0403
2015,4,utdanning,,,1032
2015,0,utdanning,,,0301
2015,10,utdanning,,,1133
2015,28,sysselsatt,644291,644291,1103
2015,48,sysselsatt,360035,360035,0101
2015,31,arbeidsledig,75854,283011,0710
2015,51,sysselsatt,1219746,1219746,0106
2015,54,sysselsatt,1100199,1100199,0106
2015,19,sysselsatt,422936,422936,0536
2015,78,pensjonist,,,1103
2015,71,pensjonist,,,1244
2015,67,pensjonist,,611101,0516
2015,43,sysselsatt,760784,760784,0106
2015,31,sysselsatt,336023,336023,1444
2015,35,sysselsatt,665252,665252,1529
2015,20,sysselsatt,776386,776386,1252
2015,15,utdanning,,,0301
2015,56,sysselsatt,682740,682740,0301
2015,64,ufor,14296,171557,1928
2015,31,sysselsatt,700725,700725,0230
2015,30,sysselsatt,630251,630251,0532
2015,49,sysselsatt,1421973,1421973,0301
2015,64,sysselsatt,535669,535669,5001
2015,26,sysselsatt,584012,584012,1141
2015,36,sysselsatt,182611,182611,0226
2015,47,sysselsatt,745714,745714,1201
2015,2,utdanning,,,0301
2015,0,utdanning,,,1445
2015,32,sysselsatt,754104,754104,1820
2015,22,sysselsatt,,,1102
2015,14,utdanning,,,1554
2015,51,sysselsatt,713106,713106,1504
2015,20,sysselsatt,407719,407719,1112
2015,49,sysselsatt,922105,922105,0227
2015,42,ufor,26319,315826,0219
2015,67,pensjonist,,281382,1103
2015,20,sysselsatt,454170,454170,0104
2015,51,sysselsatt,749972,749972,0429
2015,57,sysselsatt,433285,433285,0612
2015,51,ufor,43410,520914,0602
2015,17,utdanning,,,0301
2015,47,sysselsatt,567859,567859,1418
2015,23,sysselsatt,185755,185755,5001
2015,44,sysselsatt,656283,656283,0710
2015,34,sysselsatt,357618,357618,1902
2015,11,utdanning,,,1429
2015,41,sysselsatt,1664617,1664617,5005
2015,37,sysselsatt,564084,564084,0522
2015,15,utdanning,,,1037
2015,2,utdanning,,,5025
2015,66,sysselsatt,214303,214303,0301
2015,22,sysselsatt,,,1804
2015,25,sysselsatt,243127,243127,0806
2015,11,utdanning,,,5001
2015,-5,utdanning,,,
2015,86,pensjonist,,,0710
2015,-7,utdanning,,,
2015,5,utdanning,,,0403
2015,17,utdanning,,,0604
2015,68,pensjonist,,165337,1928
2015,51,ufor,96301,1155617,0301
2015,52,sysselsatt,1683785,1683785,1133
2015,39,sysselsatt,591405,591405,0235
2015,36,sysselsatt,837467,837467,0226
2015,61,sysselsatt,527345,527345,0220
2015,3,utdanning,,,5018
2015,2,utdanning,,,0513
2015,12,utdanning,,,0219
2015,31,sysselsatt,390926,390926,1902
2015,46,sysselsatt,1525028,1525028,1804
2015,69,pensjonist,,283111,1247
2015,55,sysselsatt,722717,722717,1001
2015,25,sysselsatt,410675,410675,0911
2015,5,utdanning,,,1026
2015,29,sysselsatt,743491,743491,2020
2015,42,sysselsatt,420692,420692,0704
2015,30,sysselsatt,309371,309371,0234
2015,33,sysselsatt,619558,619558,0220
2015,28,sysselsatt,641142,641142,1124
2015,39,sysselsatt,656125,656125,0501
2015,34,sysselsatt,1019888,1019888,2002
2015,58,sysselsatt,710752,710752,1524
2015,40,sysselsatt,458903,458903,5001
2015,29,sysselsatt,648608,648608,0106
2015,56,sysselsatt,564471,564471,0301
2015,34,sysselsatt,682119,682119,1913
2015,35,sysselsatt,912571,912571,1103
2015,9,utdanning,,,1933
2015,26,sysselsatt,732420,732420,1221
2015,18,utdanning,,,1151
2015,65,sysselsatt,571314,571314,5023
2015,29,sysselsatt,390818,390818,1247
2015,41,sysselsatt,198788,198788,1216
2015,26,sysselsatt,453565,453565,0415
2015,34,sysselsatt,199260,199260,1426
2015,69,pensjonist,,411409,0235
2015,64,sysselsatt,763304,763304,5053
2015,26,sysselsatt,132808,132808,0106
2015,33,sysselsatt,511299,511299,0625
2015,12,utdanning,,,1235
2015,16,utdanning,,,1253
2015,-10,utdanning,,,
2015,52,ufor,97225,1166704,0301
2015,36,sysselsatt,1298662,1298662,1902
2015,25,sysselsatt,280336,280336,5048
2015,-3,utdanning,,,
2015,65,sysselsatt,537340,537340,2011
2015,-3,utdanning,,,
2015,29,sysselsatt,416597,416597,0219
2015,45,arbeidsledig,63093,247634,1201
2015,-2,utdanning,,,
2015,65,sysselsatt,480829,480829,1201
2015,51,sysselsatt,761781,761781,0106
2015,21,sysselsatt,1262030,1262030,0301
2015,24,sysselsatt,,,1160
2015,7,utdanning,,,2027
2015,60,sysselsatt,878889,878889,0106
2015,69,pensjonist,,278111,1247
2015,23,sysselsatt,407348,407348,1815
2015,24,sysselsatt,,,0806
2015,24,sysselsatt,,,1001
2015,-5,utdanning,,,
2015,44,sysselsatt,452397,452397,0710
2015,72,pensjonist,,,0301
2015,-6,utdanning,,,
2015,33,sysselsatt,593581,593581,1868
2015,27,sysselsatt,280953,280953,0710
2015,50,sysselsatt,737916,737916,0301
2015,58,sysselsatt,1496055,1496055,1201
2015,1,utdanning,,,0301
2015,31,sysselsatt,671831,671831,0827
2015,15,utdanning,65996,65996,0301
2015,0,utdanning,,,0226
2015,24,sysselsatt,313630,313630,0712
2015,-1,utdanning,,,
2015,22,sysselsatt,749645,749645,0219
2015,23,sysselsatt,1129382,1129382,0301
2015,24,sysselsatt,1235944,1235944,1135
2015,9,utdanning,,,0621
2015,24,sysselsatt,584617,584617,0211
2015,17,utdanning,,,1102
2015,62,sysselsatt,875945,875945,0216
2015,53,ufor,62814,753770,2004
2015,27,sysselsatt,216015,216015,1502
2015,15,utdanning,,,0301
2015,53,sysselsatt,776196,776196,0602
2015,37,sysselsatt,440259,440259,0226
2015,41,ufor,21693,260311,5048
2015,29,sysselsatt,521539,521539,0219
2015,65,sysselsatt,497916,497916,0235
2015,20,sysselsatt,315435,315435,1201
2015,33,sysselsatt,408067,408067,0901
2015,27,sysselsatt,762670,762670,0301
2015,33,sysselsatt,1010254,1010254,0623
2015,0,utdanning,,,0301
2015,9,utdanning,,,2019
2015,52,sysselsatt,1341053,1341053,0538
2015,50,sysselsatt,2277992,2277992,1106
2015,27,sysselsatt,832921,832921,1146
2015,14,utdanning,,,1201
2015,22,sysselsatt,,,1201
2015,35,sysselsatt,307179,307179,0235
2015,62,sysselsatt,1115870,1115870,0301
2015,37,sysselsatt,617634,617634,0106
2015,63,sysselsatt,719399,719399,1018
2015,13,utdanning,,,0220
2015,47,arbeidsledig,173501,656210,1201
2015,27,sysselsatt,537031,537031,1046
